COD;CAUSA
N163;Transt renais tubulo-interst doenc metab
N164;Transt renais tubulo-interst doenc tec conj
N165;Transt renais tubulo-interst rej transpl
N168;Transt renais tubulo-interst outr doenc COP
N170;Insuf renal aguda c/necrose tubular
N171;Insuf renal aguda c/necrose cortical aguda
N172;Insuf renal aguda c/necrose medular
N178;Outr tipo de insuf renal aguda
N179;Insuf renal aguda NE
N180;Doenc renal em estadio final
N188;Outr insuf renal cronica
N189;Insuf renal cronica NE
N19;Insuf renal NE
N200;Calculose do rim
N201;Calculose do ureter
N202;Calculose do rim c/calculo do ureter
N209;Calculose urinaria NE
N210;Calculose na bexiga
N211;Calculo uretral
N218;Outr calculos do trato urinario infer
N219;Calculo do trato urinario infer porcao NE
N220;Calculo urinario na esquistossomose
N228;Calculose do trato urinario outr doenc COP
N23;Colica nefretica NE
N250;Osteodistrofia renal
N251;Diabetes insipido nefrogenico
N258;Outr transt result func renal tubular alter
N259;Transt resultante de funcao tubular alterada
N26;Rim contraido NE
N270;Hipoplasia renal unilateral
N271;Hipoplasia renal bilateral
N279;Hipoplasia renal NE
N280;Isquemia e infarto renal
N281;Cisto do rim adquir
N288;Outr transt espec do rim e do ureter
N289;Transt NE do rim e do ureter
N290;Sifilis tard renal
N291;Outr transt rim ureter doenc infec paras COP
N298;Outr transt rim e ureter em outr doenc COP
N300;Cistite aguda
N301;Cistite intersticial
N302;Outr cistites cronicas
N303;Trigonite
N304;Cistite p/radiacao
N308;Outr cistites
N309;Cistite NE
N310;Bexiga neuropatica nao-inibida NCOP
N311;Bexiga neuropatica reflexa NCOP
N312;Bexiga neuropatica flacida NCOP
N318;Outr disfuncao neuromuscular da bexiga
N319;Disfuncao neuromuscular NE da bexiga
N320;Obstrucao do colo da bexiga
N321;Fistula entero-vesical
N322;Fistula vesical NCOP
N323;Diverticulo da bexiga
N324;Ruptura da bexiga nao-traum
N328;Outr transt espec da bexiga
N329;Transt NE da bexiga
N330;Cistite tuberc
N338;Transt da bexiga em outr doenc COP
N340;Abscesso uretral
N341;Uretrites nao especificas
N342;Outr uretrites
N343;Sindr uretral NE
N350;Estenose uretral pos-traum
N351;Estenose uretral pos-infecc NCOP
N358;Outr estenose uretral
N359;Estenose uretral NE
N360;Fistula uretral
N361;Diverticulo uretral
N362;Caruncula uretral
N363;Prolapso da mucosa uretral
N368;Outr transt espec da uretra
N369;Transt NE da uretra
N370;Uretrite em doenc COP
N378;Outr transt da uretra em doenc COP
N390;Infecc do trato urinario de localiz NE
N391;Proteinuria persistente NE
N392;Proteinuria ortostatica NE
N393;Incontinencia de tensao
N394;Outr incontinencias urinarias espec
N398;Outr transt espec do aparelho urinario
N399;Transt NE do aparelho urinario
N40;Hiperplasia da prostata
N410;Prostatite aguda
N411;Prostatite cronica
N412;Abscesso da prostata
N413;Prostatocistite
N418;Outr doenc inflam da prostata
N419;Doenc inflam NE da prostata
N420;Calculo da prostata
N421;Congestao e hemorragia da prostata
N422;Atrofia da prostata
N428;Outr afeccoes espec da prostata
N429;Afeccao NE da prostata
N430;Hidrocele encistada
N431;Hidrocele infectada
N432;Outr hidrocele
N433;Hidrocele NE
N434;Espermatocele
N44;Torcao do testiculo
N450;Orquite epidid epididimo-orquite c/menc absc
N459;Orquite epidid epididimo-orquite s/menc absc
N46;Infertilidade masc
N47;Hipertrofia do prepucio fimose e parafimose
N480;Leucoplasia do penis
N481;Balanopostite
N482;Outr transt inflam do penis
N483;Priapismo
N484;Impotencia orig organica
N485;Ulcera do penis
N486;Induratio penis plastica
N488;Outr transt espec do penis
N489;Transt NE do penis
N490;Transt inflam da vesicula seminal
N491;Transt infl cord esperm tunic vagin vas def
N492;Transt inflam do escroto
N498;Transt inflam outr org genitais masc espec
N499;Transt inflam de orgao genital masc NE
N500;Atrofia do testiculo
N501;Transt vasculares orgaos genitais masc
N508;Outr transt espec orgaos genitais masc
N509;Transt NE dos orgaos genitais masc
N510;Transt da prostata em doenc COP
N511;Transt do testiculo e epididimo em doenc COP
N512;Balanite em doenc COP
N518;Outr transt orgaos genitais masc doenc COP
N600;Cisto solitario da mama
N601;Mastopatia cistica difusa
N602;Fibroadenose da mama
N603;Fibrosclerose da mama
N604;Ectasia de dutos mamarios
N608;Outr displasias mamarias benignas
N609;Displasia mamaria benigna NE
N61;Transt inflam da mama
N62;Hipertrofia da mama
N63;Nodulo mamario NE
N640;Fissura e fistula do mamilo
N641;Necrose gordurosa da mama
N642;Atrofia da mama
N643;Galactorreia nao-assoc ao parto
N644;Mastodinia
N645;Outr sint e sinais da mama
N648;Outr transt espec da mama
N649;Transt da mama NE
N700;Salpingite e ooforite agudas
N701;Salpingite e ooforite cronicas
N709;Salpingite e ooforite NE
N710;Doenc inflam aguda do utero
N711;Doenc inflam cronica do utero
N719;Doenc inflam NE do utero
N72;Doenc inflam do colo do utero
N730;Parametrite e celulite pelvicas agudas
N731;Parametrite e celulite pelvicas cronicas
N732;Parametrite e celulite pelvicas NE
N733;Pelviperitonite aguda femin
N734;Pelviperitonite cronica femin
N735;Pelviperitonite NE femin
N736;Aderencias pelviperitonais femin
N738;Outr doenc inflam espec pelve fem
N739;Doenc inflam NE da pelve femin
N740;Tuberc do colo do utero
N741;Tuberc da pelve femin
N742;Sifilis pelvica femin
N743;Infecc gonococica pelvica femin
N744;Infecc pelvica femin p/clamidia
N748;Inflam pelvica femin em outr doenc COP
N750;Cisto da gland de Bartholin
N751;Abscesso da gland de Bartholin
N758;Outr doenc da gland de Bartholin
N759;Doenc NE da gland de Bartholin
N760;Vaginite aguda
N761;Vaginite subaguda e cronica
N762;Vulvite aguda
N763;Vulvite subaguda e cronica
N764;Abscesso vulvar
N765;Ulceracao vaginal
N766;Ulceracao vulvar
N768;Outr inflam espec da vagina e da vulva
N770;Ulceracao da vulva doenc infecc parasit COP
N771;Vagin vulv vulvovaginite doenc inf paras COP
N778;Ulceracao inflam vulvovag outr doenc COP
N800;Endometriose do utero
N801;Endometriose do ovario
N802;Endometriose da trompa de Falopio
N803;Endometriose do peritonio pelvico
N804;Endometriose do septo retovaginal e vagina
N805;Endometriose do intestino
N806;Endometriose em cicatriz cutanea
N808;Outr endometriose
N809;Endometriose NE
N810;Uretrocele femin
N811;Cistocele
N812;Prolapso uterovaginal incompleto
N813;Prolapso uterovaginal completo
N814;Prolapso uterovaginal NE
N815;Enterocele vaginal
N816;Retocele
N818;Outr prolapso genital femin
N819;Prolapso genital femin NE
N820;Fistula vesicovaginal
N821;Outr fistulas do trato geniturinario femin
N822;Fistula vagina-intestino delgado
N823;Fistula vagina-colon
N824;Outr fistulas genito-intestinais femin
N825;Fistula genitocutanea femin
N828;Outr fistulas do trato genital femin
N829;Fistulas NE do trato genital femin
N830;Cisto folicular do ovario
N831;Cisto do corpo luteo
N832;Outr cistos ovarianos e os NE
N833;Atrofia adquir do ovario e trompa de Falopio
N834;Prolapso e hernia ovario e trompa de Falopio
N835;Torcao ovario pediculo ovarian tromp Falopio
N836;Hematossalpinge
N837;Hematoma do ligamento largo
N838;Outr transt n infl ovar tromp Falop lig larg
N839;Transt n infl ovar trompa Falop lig largo NE
N840;Polipo do corpo do utero
N841;Polipo do colo do utero
N842;Polipo da vagina
N843;Polipo da vulva
N848;Polipo de outr partes do trato genital femin
N849;Polipo do trato genital femin NE
N850;Hiperplasia glandular endometrial
N851;Hiperplasia adenomatosa endometrial
N852;Hipertrofia do utero
N853;Subinvolucao do utero
N854;Posicao anormal do utero
N855;Inversao do utero
N856;Sinequias intra-uterinas
N857;Hematometra
N858;Outr transt nao-inflam espec do utero
N859;Transt nao-inflam do utero NE
N86;Erosao e ectropio do colo do utero
N870;Displasia cervical leve
N871;Displasia cervical moderada
N872;Displasia cervical grave NCOP
N879;Displasia do colo do utero NE
N880;Leucoplasia do colo do utero
N881;Laceracao antiga do colo do utero
N882;Estreitamento e estenose do colo do utero
N883;Incompetencia do colo do utero
N884;Alongamento hipertrofico do colo do utero
N888;Outr transt nao-inflam espec colo do utero
N889;Transt nao-inflam e NE do colo do utero
N890;Displasia vaginal leve
N891;Displasia vaginal moderada
N892;Displasia vaginal grave NCOP
N893;Displasia da vagina NE
N894;Leucoplasia da vagina
N895;Estreitamento e atresia da vagina
N896;Anel himenal apertado
N897;Hematocolpos
N898;Outr transt nao-inflam espec da vagina
N899;Transt nao-inflam da vagina NE
N900;Displasia vulvar leve
N901;Displasia vulvar moderada
N902;Displasia vulvar grave NCOP
N903;Displasia de vulva NE
N904;Leucoplasia de vulva
N905;Atrofia da vulva
N906;Hipertrofia da vulva
N907;Cisto vulvar
N908;Outr transt nao-inflam espec vulva e perineo
N909;Transt nao-inflam e NE da vulva e do perineo
N910;Amenorreia prim
N911;Amenorreia secund
N912;Amenorreia NE
N913;Oligomenorreia prim
N914;Oligomenorreia secund
N915;Oligomenorreia NE
N920;Menstruacao excessiva freq c/ciclo regular
N921;Menstruacao excessiva freq c/ciclo irregular
N922;Menstruacao excessiva na puberdade
N923;Sangramento da ovulacao
N924;Sangramento abundante na pre-menopausa
N925;Outr tipos espec irregularidade menstruacao
N926;Menstruacao irregular NE
N930;Sangramentos pos-coito ou de contato
N938;Outr sangramentos anorm espec utero vagina
N939;Sangramento anormal do utero ou da vagina NE
N940;Ovulacao dolorosa
N941;Dispareunia
N942;Vaginismo
N943;Sindr de tensao pre-menstrual
N944;Dismenorreia prim
N945;Dismenorreia secund
N946;Dismenorreia NE
N948;Outr afec esp ass org genit fem ciclo menstr
N949;Afecc NE assoc org genit femin ciclo menstr
N950;Sangramento pos-menopausa
N951;Estado da menopausa e do climaterio femin
N952;Vaginite atrofica pos-menopausa
N953;Condicoes assoc c/a menopausa artificial
N958;Outr transt espec menopausa e perimenopausa
N959;Transt NE da menopausa e da perimenopausa
N96;Abortamento habitual
N970;Infertilidade femin assoc a anovulacao
N971;Infertilidade femin orig tubaria
N972;Infertilidade femin orig uterina
N973;Infertilidade femin orig cervical
N974;Infertilidade femin assoc fatores parceiro
N978;Infertilidade femin de outr origem
N979;Infertilidade femin NE
N980;Infecc assoc a inseminacao artificial
N981;Hiperestimulacao dos ovarios
N982;Complic relac tent introd ovulo fecund artif
N983;Complic relac tent transferencia do embriao
N988;Outr complic assoc a fecundacao artificial
N989;Complic NE assoc a fecundacao artificial
N990;Insuf renal pos-proced
N991;Estreitamento de uretra pos-proced
N992;Aderencias pos-operatorias da vagina
N993;Prolapso cupula de vagina pos-histerectomia
N994;Aderencias do peritonio pelvico pos-proced
N995;Mau funcionamento abertura ext trato urin
N998;Outr transt pos-proced ap geniturinario
N999;Transt pos-proced NE aparelho geniturinario
O000;Gravidez abdominal
O001;Gravidez tubaria
O002;Gravidez ovariana
O008;Outr form de gravidez ectopica
O009;Gravidez ectopica NE
O010;Mola hidatiforme classica
O011;Mola hidatiforme incompleta ou parcial
O019;Mola hidatiforme NE
O020;Ovo claro e mola nao-hidatiforme
O021;Aborto retido
O028;Outr produtos anormais da concepcao espec
O029;Produto anormal da concepcao NE
O030;Incompl complic inf trato genit org pelvicos
O031;Incompl complic hemorragia excessiva ou tard
O032;Incompleto complicado p/embolia
O033;Incompleto c/outr complic ou c/complic NE
O034;Incompleto s/complic
O035;Compl ou NE complic inf trato gen org pelvic
O036;Compl ou NE complic hemorrag excess ou tard
O037;Completo ou NE complicado p/embolia
O038;Compl ou NE c/outr complic ou c/complic NE
O039;Completo ou NE s/complic
O040;Incompl complic inf trato genit org pelvicos
O041;Incompl complic hemorragia excessiva ou tard
O042;Incompleto complicado p/embolia
O043;Incompleto c/outr complic ou c/complic NE
O044;Incompleto s/complic
O045;Compl ou NE complic inf trato gen org pelvic
O046;Compl ou NE complic hemorrag excess ou tard
O047;Completo ou NE complicado p/embolia
O048;Compl ou NE c/outr complic ou c/complic NE
O049;Completo ou NE s/complic
O050;Incompl complic inf trato genit org pelvicos
O051;Incompl complic hemorragia excessiva ou tard
O052;Incompleto complicado p/embolia
O053;Incompleto c/outr complic ou c/complic NE
O054;Incompleto s/complic
O055;Compl ou NE complic inf trato gen org pelvic
O056;Compl ou NE complic hemorrag excess ou tard
O057;Completo ou NE complicado p/embolia
O058;Compl ou NE c/outr complic ou c/complic NE
O059;Completo ou NE s/complic
O060;Incompl complic inf trato genit org pelvicos
O061;Incompl complic hemorragia excessiva ou tard
O062;Incompleto complicado p/embolia
O063;Incompleto c/outr complic ou c/complic NE
O064;Incompleto s/complic
O065;Compl ou NE complic inf trato gen org pelvic
O066;Compl ou NE complic hemorrag excess ou tard
O067;Completo ou NE complicado p/embolia
O068;Compl ou NE c/outr complic ou c/complic NE
O069;Completo ou NE s/complic
O070;Falh abort raz med compl inf tr gen org pelv
O071;Falh abort prov raz med compl hemor tard exc
O072;Falh abort prov raz med complicado p/embolia
O073;Falha aborto prov raz medic outr complic NE
O074;Falha aborto prov raz medic s/complic
O075;Out for NE fal abor comp inf tr gen org pelv
O076;Out form NE falh abort compl hemor tard exc
O077;Outr form e NE falh prov abort compl embolia
O078;Outr form e NE falh prov abort outr compl NE
O079;Outr form e NE falha prov aborto s/complic
O080;Inf tr gen org pel cons abort grav ect molar
O081;Hemorr tard excess cons abort grav ect molar
O082;Embolia conseq aborto grav ectopica molar
O083;Choque conseq aborto gravidez ectopica molar
O084;Insuf renal conseq aborto grav ectopic molar
O085;Dist metab conseq aborto grav ectopic molar
O086;Lesao org tec pelv cons abort grav ect molar
O087;Outr compl venosas cons abort grav ect molar
O088;Outr complic conseq aborto grav ectop molar
O089;Complic conseq aborto grav ectopica molar NE
O100;Hipertens ess pre-exis comp grav parto puerp
O101;Doen card hiper pre-ex comp grav parto puerp
O102;Doen renal hiper pre-ex comp grav part puerp
O103;Doen card ren hip pre-ex comp grav part puer
O104;Hipertens sec pre-exist comp grav parto puer
O109;Hipertens pre-exist NE compl grav parto puer
O11;Dist hipertens pre-exist proteinuria superp
O120;Edema gestacional
O121;Proteinuria gestacional
O122;Edema gestacional c/proteinuria
O13;Hipertensao gestacional s/proteinuria signif
O140;Pre-eclampsia moderada
O141;Pre-eclampsia grave
O149;Pre-eclampsia NE
O150;Eclampsia na gravidez
O151;Eclampsia no trabalho de parto
O152;Eclampsia no puerperio
O159;Eclampsia NE quanto ao periodo
O16;Hipertensao materna NE
O200;Ameaca de aborto
O208;Outr hemorragias do inicio da gravidez
O209;Hemorragia do inicio da gravidez NE
O210;Hiperemese gravidica leve
O211;Hiperemese gravidica c/disturbio metabolico
O212;Vomitos tard da gravidez
O218;Outr form de vomitos complicando a gravidez
O219;Vomitos da gravidez NE
O220;Varizes dos membros infer na gravidez
O221;Varizes genitais na gravidez
O222;Tromboflebite superf na gravidez
O223;Flebotrombose profunda na gravidez
O224;Hemorroidas na gravidez
O225;Trombose venosa cerebral na gravidez
O228;Outr complic venosas na gravidez
O229;Complic venosas na gravidez NE
O230;Infecc do rim na gravidez
O231;Infecc da bexiga na gravidez
O232;Infecc da uretra na gravidez
O233;Infecc outr partes trato urinario gravidez
O234;Infecc NE do trato urinario na gravidez
O235;Infecc do trato genital na gravidez
O239;Outr infecc e NE trato urinario na gravidez
O240;Diabetes mellitus pre-exist insulino-depend
O241;Diabetes mellitus pre-exist nao-insulino-dep
O242;Diabetes mellitus pre-existente rel desnutr
O243;Diabetes mellitus pre-existente NE
O244;Diabetes mellitus que surge durante gravidez
O249;Diabetes mellitus na gravidez NE
O25;Desnutric na gravidez
O260;Ganho excessivo de peso na gravidez
O261;Ganho de peso insuficiente na gravidez
O262;Assist gravidez p/ abortamento habitual
O263;Retencao disp intra-uterino contracept grav
O264;Herpes gestacional
O265;Sindr da hipotensao materna
O266;Transt do figado na gravidez parto puerperio
O267;Subluxacao sinfise gravidez parto puerperio
O268;Outr afeccoes espec ligadas a gravidez
O269;Afeccoes ligadas a gravidez NE
O280;Achados hematolog anorm rastr antenatal mae
O281;Achados bioquim anorm rastr antenatal mae
O282;Achados citolog anorm rastr antenatal mae
O283;Achados ultrasson anorm rastr antenatal mae
O284;Achados radiolog anorm rastr antenatal mae
O285;Achados cromos genet anorm rastr antenat mae
O288;Outr achados anorm rastr antenatal da mae
O289;Achados anorm rastr antenatal da mae NE
O290;Complic pulm anestesia admin durante grav
O291;Complic card anestesia admin durante grav
O292;Complic sist nerv centr dev anest admin grav
O293;Reacao toxica anest local admin durante grav
O294;Cefaleia anest raquid peridur admin dur grav
O295;Outr compl anest raq peridur admin dur grav
O296;Falha dificuld na entubacao durante gravidez
O298;Outr complic de anestesia durante a gravidez
O299;Complic de anestesia durante a gravidez NE
O300;Gravidez dupla
O301;Gravidez trigemelar
O302;Gravidez quadrigemelar
O308;Outr gestacoes mult
O309;Gestacao mult NE
O310;Feto papiraceo
O311;Continuacao gravidez apos aborto de fetos
O312;Contin grav apos morte intra-uter de fetos
O318;Outr complic especificas de gestacao mult
O320;Assist prest mae p/posicao fetal instavel
O321;Assist prestada a mae p/apresentacao pelvica
O322;Assist prest mae pos fetal transv e obliqua
O323;Assist prest mae apres face mento e fronte
O324;Assist prest mae polo cefal alto gest termo
O325;Assist prest mae gest mult apres anorm fetos
O326;Assist prest mae p/apresentacao composta
O328;Assist prest mae outr form apres anorm feto
O329;Assist prest mae apres anormal do feto NE
O330;Assist prest mae despr deform pelv ossea mat
O331;Assist prest mae desprop contrac geral pelve
O332;Assist prest mae despr contr estr sup pelve
O333;Assist prest mae despr contr estr inf pelve
O334;Assist prest mae desprop orig mista mat fet
O335;Assist prest mae desprop feto excepc grande
O336;Assist prest mae desprop feto hidrocefalico
O337;Assist prest mae desprop dev outr deform fet
O338;Assist prest mae desproporcao de outr origem
O339;Assist prestada a mae p/uma desproporcao NE
O340;Assist a mae p/malformacao congen do utero
O341;Assist prestada a mae p/tumor do corpo utero
O342;Assist prest mae cicatriz uterina cirurg ant
O343;Assist prest mae p/incompetencia cervical
O344;Assist prest mae outr anorm colo do utero
O345;Assist prest mae outr anorm utero gravidico
O346;Assist prest mae p/anormalidade da vagina
O347;Assist prest mae p/anorm da vulva e perineo
O348;Assist prest mae p/outr anorm org pelvicos
O349;Assist prest mae p/anorm orgaos pelvicos NE
O350;Assist prest mae malform sist nerv cent feto
O351;Assist prest mae anorm cromossomica do feto
O352;Assist prest mae p/doenc hereditaria do feto
O353;Assist prest mae lesao fet caus doen vir mat
O354;Assist prest mae lesao caus feto alcool mat
O355;Assist prest mae lesao fetal causada drogas
O356;Assist prest mae lesao fetal causada radiac
O357;Assist prest mae lesao fet caus out proc med
O358;Assist prest mae outr anorm ou lesoes fetais
O359;Assist prest mae lesao ou anorm fetais NE
O360;Assist prestada a mae p/isoimunizacao Rh
O361;Assist prest mae p/outr tipos isoimunizacao
O362;Assist prestada a mae p/hidropsia fetal
O363;Assist prestada a mae p/sinais hipoxia fetal
O364;Assist prestada a mae p/morte intra-uterina
O365;Assist prestada a mae p/insuf cresc fetal
O366;Assist prestada a mae p/cresc fetal excess
O367;Assist prest mae feto viavel grav abdominal
O368;Assist prest mae outr problemas fetais espec
O369;Assist prestada a mae p/problema fetal NE
O40;Polihidramnio
O410;Oligohidramnio
O411;Infecc do saco amniotico e das membranas
O418;Outr transt espec liq amniotico e membranas
O419;Transt do liquido amniotico e membranas NE
O420;Ruptura premat membr c/inic trab parto 24h
O421;Ruptura premat membr inic trab parto dep 24h
O422;Ruptura premat membr trab parto retard terap
O429;Ruptura prematura de membranas NE
O430;Sindr de transfusao placentaria
O431;Malformacao da placenta
O438;Outr transt da placenta
O439;Transt da placenta NE
O440;Placenta previa espec como s/hemorragia
O441;Placenta previa c/hemorragia
O450;Descolamento premat placenta c/defic coagul
O458;Outr descolamento prematuro da placenta
O459;Descolamento prematuro da placenta NE
O460;Hemorragia anteparto c/defic de coagulacao
O468;Outr form de hemorragia anteparto
O469;Hemorragia anteparto NE
O470;Falso trab parto antes de 37 sem gestacao
O471;Falso trab parto 37ª sem completa ou depois
O479;Falso trabalho de parto NE
O48;Gravidez prolongada
O600;Trabalho de parto pré-termo sem parto
O601;Trabalho parto pré-termo c/parto pré-termo
O602;Trabalho de parto pré-termo c/parto a termo
O610;Falha na inducao medica do trabalho de parto
O611;Falha inducao instrumental trabalho de parto
O618;Outr form falha na inducao trabalho de parto
O619;Falha na inducao do trabalho de parto NE
O620;Contracoes iniciais inadequadas
O621;Inercia uterina secund
O622;Outr form de inercia uterina
O623;Trabalho de parto precipitado
O624;Contrac uterinas hiperton incoord ou prolong
O628;Outr anormalidades da contracao uterina
O629;Anormalidades da contracao uterina NE
O630;Prolongamento do primeiro periodo
O631;Prolongamento do segundo periodo
O632;Parto retardado segundo terceiro gemeo etc
O639;Trabalho de parto prolongado NE
O640;Obstr trab part dev rot incomp polo cef fet
O641;Obstr trab parto dev apresentacao pelvica
O642;Obstr trab parto dev apresentacao de face
O643;Obstr trab parto dev apresentacao de fronte
O644;Obstr trab parto dev apresentacao de ombro
O645;Obstr trab parto dev apresentacao complexa
O648;Obstr trab part dev out form ma-apres ma-pos
O649;Obstr trab parto dev ma-posic ou ma-apres NE
O650;Obstr trabalho de parto dev deform pelvica
O651;Obstr trab parto dev contracao geral pelve
O652;Obstr trab parto dev contracao estreito sup
O653;Obstr trab parto dev contr estr inf cav med
O654;Obstr trab parto dev desprop feto-pelvica NE
O655;Obstr trab parto dev anorm org pelvicos mat
O658;Obstr trab parto dev outr anorm pelvicas mat
O659;Obstr trab parto dev anorm pelvicas mat NE
O660;Obstr trab parto dev distocia de ombro
O661;Obstr trabalho de parto p/colis de gemeos
O662;Obstr trab parto p/feto excepc grande
O663;Obstr trab parto dev outr anorm do feto
O664;Falha de tentativa de trabalho de parto NE
O665;Falha aplicacao forceps e vacuo-extrator NE
O668;Outr form de obstrucao do trab parto espec
O669;Obstrucao do trabalho de parto NE
O670;Hemorragia intraparto c/defic de coagulacao
O678;Outr hemorragias intraparto
O679;Hemorragia intraparto NE
O680;Trab parto e parto compl anorm freq card fet
O681;Trab parto e parto compl meconio liq amniot
O682;Trab part part anor frq card fet mec liq amn
O683;Trab parto e parto compl evid bioq sofr fet
O688;Trab parto e parto compl outr evid sofr fet
O689;Trab parto e parto complic sofr fetal NE
O690;Trab parto e parto complic prolapso cordao
O691;Trab part part compl circul cordao c/compres
O692;Trab parto e parto compl outr enovel cordao
O693;Trab parto e parto complic p/cordao curto
O694;Trab parto e parto complic p/vasa praevia
O695;Trab parto e parto complic lesao vasc cordao
O698;Trab parto e parto complic outr compl cordao
O699;Trab parto e parto complic cordao NE
O700;Laceracao perineo 1. grau durante o parto
O701;Laceracao perineo 2. grau durante o parto
O702;Laceracao perineo 3. grau durante o parto
O703;Laceracao perineo 4. grau durante o parto
O709;Laceracao de perineo durante o parto NE
O710;Ruptura do utero antes inicio trab parto
O711;Ruptura do utero durante o trabalho de parto
O712;Inversao do utero pos-parto
O713;Laceracao obstetrica do colo do utero
O714;Laceracao vaginal alta isolada orig obstetr
O715;Outr lesoes obstetricas aos orgaos pelvicos
O716;Lesao obstetr artic e ligamentos pelvicos
O717;Hematoma obstetrico da pelve
O718;Outr traum obstetricos espec
O719;Traum obstetrico NE
O720;Hemorragia do terceiro estagio
O721;Outr hemorragias do pos-parto imediato
O722;Hemorragias pos-parto tard e secund
O723;Defic de coagulacao pos-parto
O730;Retencao da placenta s/hemorragia
O731;Retencao partes placenta ou membr s/hemorrag
O740;Pneumonite aspirat dev anest trab parto part
O741;Outr complic pulm dev anest trab parto parto
O742;Complic card dev anest trab parto e parto
O743;Comp sist nerv cent dev anest trab part part
O744;Reacao toxica anest local trab parto e parto
O745;Cefal pos-anest raquid perid trab parto part
O746;Outr compl anest raquid perid trab part part
O747;Falha ou dific entubacao trab parto e parto
O748;Outr complic anest durante trab parto parto
O749;Complic anest durante trab parto e parto NE
O750;Sofrim materno durante trab parto e parto
O751;Choque durante ou subseq trab parto e parto
O752;Febre durante o trabalho de parto NCOP
O753;Outr infecc durante o trabalho de parto
O754;Outr complic proced ou cirurgia obstetrica
O755;Demora do parto apos ruptura artif membranas
O756;Demora parto apos ruptura espont ou NE membr
O757;Parto vaginal subseq cesariana anterior
O758;Outr complic espec trab parto e do parto
O759;Complic do trabalho de parto e do parto NE
O800;Parto espontaneo cefalico
O801;Parto espontaneo pelvico
O808;Outr tipos de parto unico espontaneo
O809;Parto unico espontaneo NE
O810;Parto p/forceps baixo
O811;Parto p/forceps da cavidade mediana
O812;Forceps da cavidade mediana c/rotacao
O813;Outr tipos de parto p/forceps e os NE
O814;Parto p/vacuo-extrator
O815;Parto p/combinacao forceps e vacuo-extrator
O820;Parto p/cesariana eletiva
O821;Parto p/cesariana de emergencia
O822;Parto p/cesariana p/histerectomia
O828;Outr tipos de parto unico p/cesariana
O829;Parto p/cesariana NE
O830;Extracao pelvica
O831;Outr tipos de parto pelvico assistido
O832;Outr form de parto c/o auxilio manipulacao
O833;Parto de grav intra-abdominal feto viavel
O834;Cirurgia destrutiva p/facilitar o parto
O838;Outr tipos espec de parto unico assistido
O839;Parto unico assistido NE
O840;Parto mult todos espontaneos
O841;Parto mult todos p/forceps ou vacuo-extrator
O842;Parto mult todos p/cesariana
O848;Outr tipo de parto mult
O849;Parto mult NE
O85;Infecc puerperal
O860;Infecc da incisao cirurgica orig obstetrica
O861;Outr infecc dos orgaos genitais subseq parto
O862;Infecc das vias urinarias subsequentes parto
O863;Outr infecc vias genitourin subseq parto
O864;Febre orig desconhecida subsequente ao parto
O868;Outr infecc puerperais espec
O870;Tromboflebite superf no puerperio
O871;Tromboflebite profunda no puerperio
O872;Hemorroidas no puerperio
O873;Trombose venosa cerebral no puerperio
O878;Outr complic venosas no puerperio
O879;Complic venosas no puerperio NE
O880;Embolia gasosa orig obstetrica
O881;Embolia amniotica
O882;Embolia obstetrica p/coagulo de sangue
O883;Embolia septica ou piemica orig obstetrica
O888;Outr embolias orig obstetrica
O890;Complic pulm anestesia durante puerperio
O891;Complic card dev anestesia durante puerperio
O892;Compl rel sist nerv cent dev anest puerperio
O893;Reacao toxica anest local durante puerperio
O894;Cefaleia prov anest raquid perid puerperio
O895;Outr compl anest raquid perid puerperio
O896;Falha dific de entubacao durante puerperio
O898;Outr complic anestesia durante o puerperio
O899;Complic dev anestesia durante o puerperio NE
O900;Ruptura da incisao de cesariana
O901;Ruptura da incisao obstetrica no perineo
O902;Hematoma da incisao obstetrica
O903;Cardiomiopatia no puerperio
O904;Insuf renal aguda do pos-parto
O905;Tireoidite do pos-parto
O908;Outr complic do puerperio NCOP
O909;Complic do puerperio NE
O910;Infecc do mamilo assoc ao parto
O911;Abscesso da mama assoc ao parto
O912;Mastite nao purulenta assoc ao parto
O920;Mamilo retraido assoc ao parto
O921;Fissuras do mamilo assoc ao parto
O922;Outr afeccoes da mama e as NE assoc ao parto
O923;Agalactia
O924;Hipogalactia
O925;Suspensao da lactacao
O926;Galactorreia
O927;Outr disturbios da lactacao e os NE
O94;Seqüelas complic gravidez parto e puerpério
O95;Morte obstetrica de causa NE
O96;Morte qq caus obst mais 42d menos 1a parto
O97;Morte p/sequelas causas obstetricas diretas
O980;Tuberc complic gravidez parto e puerperio
O981;Sifilis complic gravidez parto e puerperio
O982;Gonorreia complic gravidez parto e puerperio
O983;Out inf via trans sex compl grav parto puerp
O984;Hepatite viral complic gravidez parto puerp
O985;Outr doenc virais compl gravidez parto puerp
O986;Doenc caus protozoar compl grav parto puerp
O988;Out doen inf paras mat comp grav parto puerp
O989;Doen inf paras mat NE compl grav parto puerp
O990;Anemia complic gravidez parto puerperio
O991;Out doen sang hemat imun comp grav part puer
O992;Doen endoc nutr metab compl grav parto puerp
O993;Trans ment doen sis nerv comp grav part puer
O994;Doenc ap circulat compl gravidez parto puerp
O995;Doenc ap respirat compl gravidez parto puerp
O996;Doenc ap digestiv compl gravidez parto puerp
